Cluster ID,confidence_score,Id,duns,bp name,addr,postl
9,0.9534807609089788,44,050871698,Mitsubishi Chemical America IncPerformance Polymers Division,"350 N Buckeye St,Bellevue (Ohio)",44811

10,0.9534807504818138,45,050871698,"Mitsubishi Chemical America, Inc.","12220 Strang Rd.,Texas",77571

10,0.9534809894730251,46,050871698,"Mitsubishi Chemical America, Inc.","12220 Strang Road,La Porte, TX",77571-9740

11,0.953481048282569,47,050871698,"Mitsubishi Chemical America, Inc.","9115 Harris Corners Parkway Suite 3,Charlotte, NC 28269",NULL

11,0.9534809594426483,48,050871698,"Mitsubishi Chemical America, Inc.","9115 Harris Corners Parkway, Suite,NC Charlotte",28269

10,0.9534810182521544,49,050871698,"Mitsubishi Chemical America, Inc.Attn: Josh Wolfe","12220 Strang Road,,La Porte, TX",77571-9740

11,0.953480988221759,50,050871698,"Mitsubishi Chemical America, Inc.Information Technology Center Ameri","9115 Harris Corners Parkway,,Charlotte NC",28269

26,1.0,51,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers Division","1630 OLD HIGHWAY 14,GREER SC",29651-6516

9,0.9534809986489774,52,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers Division","350 N Buckeye Street,Bellevue, OH",44811

9,0.953480939422408,53,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers DivisionAccounts Payable","350 N. Buckeye Street,Bellevue, OH",44811

0,0.9534808993819531,54,050871698,"Mitsubishi Chemical America, Inc.Performance Polymers DivisionGreer PlantMrs. Julie Todd","2001 Hood Road,US-Greer, SC",29652

0,0.953481257870378,55,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652",NULL

0,0.953481257870378,56,050871698,"Mitsubishi Chemical America, Inc.-Polyester Film Division","2001 Hood Road, Greer,South Carolina, 29652, USA.",NULL

27,1.0,57,050871698,"Mitsubishi Chemical America, IncSporting Goods Division","1945 KELLOGG AVE.,CARLSBAD, CA",92008

9,0.953480820135321,58,050871698,Mitsubishi Chemical PerformancePolymers Inc.,"350 North Buckeye Road,Bellevue, Ohio",44811

28,1.0,59,080483587,Mitsubishi Chemical AdvancedMaterials Inc.,"2120 Fairmont Avenue,Reading PA 19612-4235",NULL

